primitive_id,type,vertices,faces,winding_order,coordinate_system,matrix_spec,vertex_count,face_count,uv_map,normal_map,description
GEO-001,cube,"v 0.0 0.0 0.0\nv 1.0 0.0 0.0\nv 1.0 1.0 0.0\nv 0.0 1.0 0.0\nv 0.0 0.0 1.0\nv 1.0 0.0 1.0\nv 1.0 1.0 1.0\nv 0.0 1.0 1.0","f 1 2 3 4\nf 5 8 7 6\nf 1 5 6 2\nf 2 6 7 3\nf 3 7 8 4\nf 4 8 5 1",CCW,right-handed,"[[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1]]",8,6,planar,flat,Unit cube 1x1x1 at origin; all face normals outward; CCW winding in right-handed coordinate system
GEO-002,sphere_uv,parametric,triangulated,CCW,right-handed,"r=1.0 theta=[0,2pi] phi=[0,pi] lat_segs=32 lon_segs=16",1026,2048,spherical,smooth,UV sphere radius=1.0; latitude/longitude tessellation; 32 longitudinal x 16 latitudinal segments
GEO-003,cylinder,"v_bottom_cap v_top_cap v_side_ring_n",triangulated+quads,CCW,right-handed,"r=0.5 h=2.0 segs=32",66,96,cylindrical,smooth,Cylinder radius=0.5 height=2.0; 32-segment circular cross-section; smooth shading on barrel face
GEO-004,torus,"parametric R=1.0 r=0.25 major_segs=32 minor_segs=16",quad_mesh,CCW,right-handed,"R=1.0 r=0.25 u=[0,2pi] v=[0,2pi]",512,512,toroidal,smooth,Torus major radius=1.0 minor radius=0.25; 32x16 quad tessellation; genus-1 topology
GEO-005,plane,"v 0 0 0\nv 1 0 0\nv 1 0 1\nv 0 0 1","f 1 2 3 4",CCW,right-handed,"[[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1]]",4,1,planar,flat,Unit plane XZ at Y=0; single quad face; normal pointing +Y; used as ground plane reference
GEO-006,icosphere,geodesic_subdivision,triangulated,CCW,right-handed,"r=1.0 subdivisions=2",162,320,spherical_approx,smooth,Icosphere radius=1.0; 2x geodesic subdivision from icosahedron; near-uniform triangle distribution
GEO-007,cone,"v_apex v_base_ring",triangulated+fan,CCW,right-handed,"r=0.5 h=1.0 segs=32 apex=[0,1,0]",33,64,conical,flat_base_smooth_side,Cone apex at (0,1,0) base radius=0.5; 32-segment base fan triangulation
GEO-008,capsule,"v_hemisphere_top v_cylinder v_hemisphere_bot",triangulated,CCW,right-handed,"r=0.5 h=2.0 hem_segs=16 cyl_segs=32",544,1056,mixed,smooth,Capsule total height=2.0 radius=0.5; cylinder midsection + hemispherical end caps; smooth across seams
GEO-009,bezier_patch,"ctrl_pts[4][4]",quad_eval,N/A,right-handed,"degree=3 u_segs=8 v_segs=8 ctrl_grid=4x4",81,64,bilinear,computed,Bicubic Bezier patch; 4x4 control point grid; 8x8 evaluation resolution; tangent-continuous
GEO-010,nurbs_surface,"ctrl_pts[6][6] knot_u knot_v weights",quad_eval,N/A,right-handed,"degree_u=3 degree_v=3 knots_u=[0,0,0,0.33,0.67,1,1,1,1] knots_v=same",49,36,bilinear,computed,NURBS surface 6x6 control grid; degree 3 in both directions; uniform knot vectors; exact conic section representation possible
GEO-011,triangle_mesh_lod0,"high_poly_vertices",triangulated,CCW,right-handed,"poly_count=10000 lod=0",10002,10000,unwrapped,per-vertex,High-detail LOD0 triangle mesh; 10K triangles; per-vertex normals; UV-unwrapped for PBR texturing
GEO-012,triangle_mesh_lod1,"mid_poly_vertices",triangulated,CCW,right-handed,"poly_count=2500 lod=1",2502,2500,unwrapped,per-vertex,Medium-detail LOD1; 2500 triangles; decimated from LOD0 via quadric error metric; error threshold=0.001
GEO-013,triangle_mesh_lod2,"low_poly_vertices",triangulated,CCW,right-handed,"poly_count=500 lod=2",502,500,unwrapped,per-vertex,Low-detail LOD2; 500 triangles; aggressive decimation; silhouette-preserving; for distant rendering
GEO-014,convex_hull,"point_cloud_input",triangulated,CCW,right-handed,"input_pts=1000 hull_verts=42 hull_faces=80",42,80,none,flat,Convex hull computed from 1000-point cloud; 42 hull vertices; used for physics collision broadphase
GEO-015,bvh_aabb,"mesh_nodes",hierarchical_boxes,N/A,right-handed,"depth=8 leaf_prims=4 split=SAH",255,N/A,none,none,Bounding Volume Hierarchy; axis-aligned boxes; surface area heuristic splitting; depth=8; 4 primitives per leaf
GEO-016,signed_distance_field,volumetric,voxel_grid,N/A,right-handed,"res=64x64x64 band_width=3.0 voxel_size=0.03125",262144,N/A,none,none,Narrow-band SDF; 64^3 voxel grid; signed distance values clamped to ±band_width; used for CSG operations
GEO-017,half_edge_mesh,"v_list e_list f_list he_list",half_edge,CCW,right-handed,"verts=1024 edges=3072 faces=2048 he=6144",1024,2048,yes,computed,Half-edge data structure; manifold mesh; euler characteristic=2; O(1) neighbor traversal; supports loop subdivision
GEO-018,catmull_clark_sub,"coarse_mesh",quad_dominant,CCW,right-handed,"base_quads=64 subdivisions=3 result_quads=4096",4226,4096,extrapolated,smooth,Catmull-Clark subdivision; 3 levels from 64-quad base mesh; crease sharpness tags on border edges
GEO-019,obj_mtl_group,"g mesh1\nusemtl Material.001\nf 1/1/1 2/2/2 3/3/3","f v/vt/vn triplets",CCW,right-handed,"groups=4 materials=4 total_faces=8192",2048,8192,per-face,per-vertex,OBJ material group assignment; 4 named groups mapped to MTL materials; v/vt/vn index triplets per face corner
GEO-020,quadric_surface,"Ax^2+By^2+Cz^2+Dxy+Exz+Fyz+Gx+Hy+Iz+J=0",implicit,N/A,right-handed,"A=1 B=1 C=1 D=0 E=0 F=0 G=0 H=0 I=0 J=-1",N/A,N/A,none,gradient,Quadric surface (sphere); implicit form; normal = normalize(gradient Q); ray-quadric intersection via discriminant test
GEO-021,parametric_surface_rev,"profile_curve rotated around Y",triangulated,CCW,right-handed,"profile_pts=64 rev_segs=32 axis=Y angle=2pi",2080,4096,cylindrical,smooth,Surface of revolution; 64-point profile curve swept 360° around Y-axis; 32 angular divisions
GEO-022,procedural_heightmap,"height_fn(x,z)=perlin(x,z)*scale",quad_grid,CCW,right-handed,"grid=256x256 cell_size=1.0 height_scale=50.0",66049,131072,planar,computed,Procedural terrain; 256x256 vertex grid; Perlin noise height function; normal computed from finite differences; LOD via geomorphing
GEO-023,point_cloud,"x y z r g b nx ny nz",N/A,N/A,right-handed,"density=50pts/m^2 extent=100x100m total=500000",500000,N/A,none,per-point,LiDAR-style point cloud; 50 pts/m² density; XYZ position + RGB color + estimated normal per point; octree spatial index
GEO-024,mesh_boolean_union,"mesh_A union mesh_B","manifold_result",CCW,right-handed,"method=BSP_tree tolerance=1e-6",N/A,N/A,merged,recomputed,Boolean union via BSP tree; manifold output guaranteed; coplanar face handling; degenerate triangle removal pass
GEO-025,mesh_boolean_difference,"mesh_A minus mesh_B","manifold_result",CCW,right-handed,"method=BSP_tree tolerance=1e-6",N/A,N/A,merged,recomputed,Boolean difference (subtraction); inside/outside classification via ray casting; winding order corrected post-op
GEO-026,voronoi_diagram_3d,"seed_points",polyhedral_cells,CCW,right-handed,"seeds=200 bbox=10x10x10 method=qhull",N/A,N/A,none,computed,3D Voronoi diagram; 200 seed points; convex polyhedral cells; dual of Delaunay tetrahedralization; used for procedural fracture
GEO-027,delaunay_tetrahedralization,"point_cloud",tetrahedra,N/A,right-handed,"pts=1000 method=incremental circumsphere_empty=true",N/A,N/A,none,none,Delaunay tetrahedralization; empty circumsphere criterion; incremental insertion; O(n log n) expected; Bowyer-Watson algorithm
GEO-028,spline_curve_bspline,"ctrl_pts degree knots",polyline_approx,N/A,right-handed,"degree=3 ctrl=8 knots=[0,0,0,0,0.25,0.5,0.75,1,1,1,1] eval_pts=256",N/A,N/A,N/A,tangent,B-spline curve degree 3; 8 control points; clamped knot vector; C2 continuity; arc-length parameterization for uniform sampling
GEO-029,collision_capsule_chain,"joint_positions",capsule_array,N/A,right-handed,"joints=20 radius_per_joint=[0.05..0.12] total_len=1.8m",N/A,N/A,none,none,Articulated capsule chain for skeletal physics; 20 joints; variable radius per segment; used in ragdoll simulation
GEO-030,mesh_uv_atlas,"3d_mesh",2d_uv_chart,CCW,right-handed,"charts=12 padding=2px resolution=2048x2048 utilization=87%",N/A,N/A,atlas,original,UV atlas; 12 charts packed into 2048² texture; 87% texel utilization; seam-minimizing parameterization via LSCM
GEO-031,voxel_grid_sparse,"occupancy[x][y][z]",run_length_encoded,N/A,right-handed,"res=512^3 occupied=2.1M voxels format=VDB",134M,N/A,none,none,Sparse voxel grid; OpenVDB format; 512³ resolution; RLE compression; 2.1M active voxels; level-set surface extraction via marching cubes
GEO-032,skeleton_rig,"bones hierarchy weights",hierarchical,N/A,right-handed,"bones=67 influence_verts=8192 max_influences=4",N/A,N/A,none,none,Skeletal rig; 67 bones in parent-child hierarchy; linear blend skinning; 4 influences per vertex; bind pose stored as inverse bind matrices
GEO-033,morphblend_target,"base_mesh + delta_verts","blend_shape",CCW,right-handed,"targets=8 delta_threshold=1e-4 driven_by_joints=2",N/A,N/A,original,recomputed,Blend shape / morph target; 8 corrective shapes; sparse delta storage (only non-zero displacements); PSD driver on 2 joint angles
GEO-034,solid_csg_tree,"union|intersect|difference nodes",CSG_tree,N/A,right-handed,"depth=5 leaf_prims=sphere|box|cylinder",N/A,N/A,none,implicit,Constructive solid geometry tree; 5-level expression tree; evaluated via ray marching; SDF combination operators (smooth_union k=0.1)
GEO-035,face_weighted_normals,"per-face area * face_normal sum at vertex",per_vertex,N/A,right-handed,"weight=face_area angle_threshold=30deg",N/A,N/A,none,computed,Face-area-weighted vertex normals; improves shading on non-uniform meshes; sharp crease detection at 30° dihedral angle threshold
GEO-036,octree_spatial_index,"mesh_triangles",8-ary_tree,N/A,right-handed,"max_depth=12 max_tris_per_leaf=8 bbox_root=100^3",N/A,N/A,none,none,Octree for triangle spatial queries; max depth 12; early-exit ray traversal; used for spatial intersection and proximity queries
GEO-037,medial_axis_transform,"closed_surface_mesh",skeletal_graph,N/A,right-handed,"method=voronoi_filtering stability_threshold=0.1",N/A,N/A,none,none,Medial axis transform; skeleton of 3D shape; computed via Voronoi filtering; stability-filtered to remove noise; topology-preserving
GEO-038,texture_cube_map,"6 face images","environment_map",CCW,right-handed,"res=1024x1024_per_face format=HDR32F total=6MB",N/A,N/A,cube_map,none,HDR cube map; 6 faces at 1024²; 32-bit float per channel; used for image-based lighting; seamlessly filtered at face boundaries
GEO-039,clip_plane_csg,"mesh sectioned by plane Ax+By+Cz+D=0",open_mesh,CCW,right-handed,"plane=[0,1,0,-0.5] cap=true cap_triangulated=yes",N/A,N/A,original,recomputed,Clip plane section cut; plane Y=0.5; open mesh with capped cross-section; triangulated cap inserted; winding order preserved
GEO-040,mesh_decimate_quadric,"high_poly_mesh target_ratio=0.1",simplified_mesh,CCW,right-handed,"method=QEM error_threshold=adaptive target=10%_polys",N/A,N/A,projected,recomputed,Quadric error metric decimation; target 10% of original polygon count; per-vertex error quadric accumulation; feature-preserving edge collapse priority queue
